"","Labels","mean(Mean)","subject_nb"
"1","LAYING",-0.398590312030923,1
"2","SITTING",-0.463417332182878,1
"3","STANDING",-0.640927480679179,1
"4","WALKING",-0.409685844434881,1
"5","WALKING_DOWNSTAIRS",-0.594949564108763,1
"6","WALKING_UPSTAIRS",-0.631565911679565,1
"7","LAYING",-0.446655266184578,2
"8","SITTING",-0.522214958277508,2
"9","STANDING",-0.48577883893726,2
"10","WALKING",-0.47649177817193,2
"11","WALKING_DOWNSTAIRS",-0.514169758880537,2
"12","WALKING_UPSTAIRS",-0.585519569991086,2
"13","LAYING",-0.630502707694082,3
"14","SITTING",-0.477960812036571,3
"15","STANDING",-0.316810083067987,3
"16","WALKING",-0.637891012404744,3
"17","WALKING_DOWNSTAIRS",-0.53519221306053,3
"18","WALKING_UPSTAIRS",-0.351510006522166,3
"19","LAYING",-0.641402576786473,4
"20","SITTING",-0.647298710978336,4
"21","STANDING",-0.584692406891876,4
"22","WALKING",-0.608982118337809,4
"23","WALKING_DOWNSTAIRS",-0.449260977026785,4
"24","WALKING_UPSTAIRS",-0.362361913825559,4
"25","LAYING",-0.592434957229672,5
"26","SITTING",-0.401210094390649,5
"27","STANDING",-0.366056501599487,5
"28","WALKING",-0.640397301427655,5
"29","WALKING_DOWNSTAIRS",-0.645251992286652,5
"30","WALKING_UPSTAIRS",-0.585485633936569,5
"31","LAYING",-0.637829832383497,6
"32","SITTING",-0.531759137189258,6
"33","STANDING",-0.389215699381379,6
"34","WALKING",-0.642337386846301,6
"35","WALKING_DOWNSTAIRS",-0.486550070544573,6
"36","WALKING_UPSTAIRS",-0.311170288679739,6
"37","LAYING",-0.58458934670822,7
"38","SITTING",-0.626195585800946,7
"39","STANDING",-0.449007247613043,7
"40","WALKING",-0.413857146571213,7
"41","WALKING_DOWNSTAIRS",-0.265778068592158,7
"42","WALKING_UPSTAIRS",-0.385237524150473,7
"43","LAYING",-0.31536760607398,8
"44","SITTING",-0.387443498069692,8
"45","STANDING",-0.622850194248354,8
"46","WALKING",-0.4651086155377,8
"47","WALKING_DOWNSTAIRS",-0.566846029873399,8
"48","WALKING_UPSTAIRS",-0.627310297112105,8
"49","LAYING",-0.579145015841616,9
"50","SITTING",-0.362831133509444,9
"51","STANDING",-0.370450989584112,9
"52","WALKING",-0.621025721876773,9
"53","WALKING_DOWNSTAIRS",-0.462147171053293,9
"54","WALKING_UPSTAIRS",-0.440799471799214,9
"55","LAYING",-0.457957213090644,10
"56","SITTING",-0.503391990656787,10
"57","STANDING",-0.617427067666363,10
"58","WALKING",-0.472335680071665,10
"59","WALKING_DOWNSTAIRS",-0.548124857543456,10
"60","WALKING_UPSTAIRS",-0.593398418111389,10
"61","LAYING",-0.552751763022138,11
"62","SITTING",-0.623614469650108,11
"63","STANDING",-0.521911343683529,11
"64","WALKING",-0.38542296961317,11
"65","WALKING_DOWNSTAIRS",-0.384161769072026,11
"66","WALKING_UPSTAIRS",-0.379415789286058,11
"67","LAYING",-0.399909229122153,12
"68","SITTING",-0.383247861204479,12
"69","STANDING",-0.496702357599658,12
"70","WALKING",-0.474093982997446,12
"71","WALKING_DOWNSTAIRS",-0.525155660395309,12
"72","WALKING_UPSTAIRS",-0.608686119899545,12
"73","LAYING",-0.39448786512875,13
"74","SITTING",-0.640442958246589,13
"75","STANDING",-0.630674978723623,13
"76","WALKING",-0.247814071171139,13
"77","WALKING_DOWNSTAIRS",-0.247880761320525,13
"78","WALKING_UPSTAIRS",-0.528828667995037,13
"79","LAYING",-0.331952802379414,14
"80","SITTING",-0.552075325373237,14
"81","STANDING",-0.628809026681033,14
"82","WALKING",-0.329805443603389,14
"83","WALKING_DOWNSTAIRS",-0.493705520385449,14
"84","WALKING_UPSTAIRS",-0.549629290247165,14
"85","LAYING",-0.416097574766677,15
"86","SITTING",-0.5243218185822,15
"87","STANDING",-0.64181425109513,15
"88","WALKING",-0.392885126547769,15
"89","WALKING_DOWNSTAIRS",-0.527957780542948,15
"90","WALKING_UPSTAIRS",-0.589421768086971,15
"91","LAYING",-0.48172910022879,16
"92","SITTING",-0.635817577620857,16
"93","STANDING",-0.636780674022819,16
"94","WALKING",-0.266267445623972,16
"95","WALKING_DOWNSTAIRS",-0.368973445835066,16
"96","WALKING_UPSTAIRS",-0.545322327716222,16
"97","LAYING",-0.420887097924118,17
"98","SITTING",-0.609063349161464,17
"99","STANDING",-0.625584508092094,17
"100","WALKING",-0.33661972456642,17
"101","WALKING_DOWNSTAIRS",-0.488521553451962,17
"102","WALKING_UPSTAIRS",-0.633431225867984,17
"103","LAYING",-0.463243367022833,18
"104","SITTING",-0.570781831499508,18
"105","STANDING",-0.644025173432822,18
"106","WALKING",-0.483244499454397,18
"107","WALKING_DOWNSTAIRS",-0.585246332471723,18
"108","WALKING_UPSTAIRS",-0.645960904086069,18
