"Labels" "Mean" "Sd_mean" "subject_nb"
"1" "LAYING" -0.398590312030923 0.48454886246822 1
"2" "SITTING" -0.463417332182878 0.49358871495646 1
"3" "STANDING" -0.640927480679179 0.532146521419125 1
"4" "WALKING" -0.409685844434881 0.48877723571175 1
"5" "WALKING_DOWNSTAIRS" -0.594949564108763 0.525923485602041 1
"6" "WALKING_UPSTAIRS" -0.631565911679565 0.537121734346617 1
"7" "LAYING" -0.446655266184578 0.485034981329689 2
"8" "SITTING" -0.522214958277508 0.499743715078302 2
"9" "STANDING" -0.48577883893726 0.494441631696204 2
"10" "WALKING" -0.47649177817193 0.499090957693619 2
"11" "WALKING_DOWNSTAIRS" -0.514169758880537 0.494550065583654 2
"12" "WALKING_UPSTAIRS" -0.585519569991086 0.514858373336004 2
"13" "LAYING" -0.630502707694082 0.530775781810888 3
"14" "SITTING" -0.477960812036571 0.483118388491823 3
"15" "STANDING" -0.316810083067987 0.463301352481224 3
"16" "WALKING" -0.637891012404744 0.529809519097963 3
"17" "WALKING_DOWNSTAIRS" -0.53519221306053 0.520575105130971 3
"18" "WALKING_UPSTAIRS" -0.351510006522166 0.49425197573468 3
"19" "LAYING" -0.641402576786473 0.534000214702524 4
"20" "SITTING" -0.647298710978336 0.539493540909705 4
"21" "STANDING" -0.584692406891876 0.523435168822652 4
"22" "WALKING" -0.608982118337809 0.525177903804655 4
"23" "WALKING_DOWNSTAIRS" -0.449260977026785 0.495087386932942 4
"24" "WALKING_UPSTAIRS" -0.362361913825559 0.474782873413634 4
"25" "LAYING" -0.592434957229672 0.528883379715396 5
"26" "SITTING" -0.401210094390649 0.473153112762643 5
"27" "STANDING" -0.366056501599487 0.470758349369547 5
"28" "WALKING" -0.640397301427655 0.540776739055393 5
"29" "WALKING_DOWNSTAIRS" -0.645251992286652 0.53596944556362 5
"30" "WALKING_UPSTAIRS" -0.585485633936569 0.521953017142467 5
"31" "LAYING" -0.637829832383497 0.535524804752399 6
"32" "SITTING" -0.531759137189258 0.507646324735424 6
"33" "STANDING" -0.389215699381379 0.478114061767882 6
"34" "WALKING" -0.642337386846301 0.536212023782527 6
"35" "WALKING_DOWNSTAIRS" -0.486550070544573 0.508131017269993 6
"36" "WALKING_UPSTAIRS" -0.311170288679739 0.474868556991143 6
"37" "LAYING" -0.58458934670822 0.522712201305533 7
"38" "SITTING" -0.626195585800946 0.5393279335418 7
"39" "STANDING" -0.449007247613043 0.499420755818186 7
"40" "WALKING" -0.413857146571213 0.490596790670946 7
"41" "WALKING_DOWNSTAIRS" -0.265778068592158 0.456394455873899 7
"42" "WALKING_UPSTAIRS" -0.385237524150473 0.485207935317433 7
"43" "LAYING" -0.31536760607398 0.468802027216868 8
"44" "SITTING" -0.387443498069692 0.48501515967099 8
"45" "STANDING" -0.622850194248354 0.533226590502231 8
"46" "WALKING" -0.4651086155377 0.496936384495113 8
"47" "WALKING_DOWNSTAIRS" -0.566846029873399 0.519856986628875 8
"48" "WALKING_UPSTAIRS" -0.627310297112105 0.53331637395887 8
"49" "LAYING" -0.579145015841616 0.523454816981239 9
"50" "SITTING" -0.362831133509444 0.484099565323304 9
